Year,Month,Total Electricity_Consumption_TWh,Average Price USD/kWh,AI_Investment_USD_Billion,Renewable_Energy_Share_%
2016,1,320.89,0.1054,8.50,15.3
2016,2,296.81,0.1058,8.50,15.3
2016,3,285.81,0.1058,8.50,15.3
2016,4,269.53,0.1049,8.50,15.3
2016,5,284.71,0.1065,8.50,15.3
2016,6,329.88,0.1108,8.50,15.3
2016,7,372.17,0.1118,8.50,15.3
2016,8,381.19,0.1122,8.50,15.3
2016,9,336.75,0.1112,8.50,15.3
2016,10,296.68,0.1078,8.50,15.3
2016,11,277.32,0.1067,8.50,15.3
2016,12,310.72,0.1068,8.50,15.3
2017,1,318.18,0.1074,12.00,17.4
2017,2,275.78,0.1090,12.00,17.4
2017,3,291.44,0.1089,12.00,17.4
2017,4,272.80,0.1081,12.00,17.4
2017,5,291.87,0.1097,12.00,17.4
2017,6,328.58,0.1136,12.00,17.4
2017,7,367.61,0.1145,12.00,17.4
2017,8,360.26,0.1137,12.00,17.4
2017,9,321.73,0.1127,12.00,17.4
2017,10,299.54,0.1098,12.00,17.4
2017,11,283.35,0.1093,12.00,17.4
2017,12,312.22,0.1088,12.00,17.4
2018,1,344.55,0.1112,20.00,17.9
2018,2,292.80,0.1119,20.00,17.9
2018,3,297.07,0.1105,20.00,17.9
2018,4,278.54,0.1096,20.00,17.9
2018,5,303.33,0.1109,20.00,17.9
2018,6,338.16,0.1142,20.00,17.9
2018,7,375.11,0.1155,20.00,17.9
2018,8,381.21,0.1146,20.00,17.9
2018,9,337.34,0.1136,20.00,17.9
2018,10,309.19,0.1111,20.00,17.9
2018,11,290.58,0.1108,20.00,17.9
2018,12,312.21,0.1108,20.00,17.9
2019,1,328.61,0.1104,31.00,17.8
2019,2,295.80,0.1130,31.00,17.8
2019,3,301.85,0.1120,31.00,17.8
2019,4,273.90,0.1112,31.00,17.8
2019,5,296.80,0.1118,31.00,17.8
2019,6,321.46,0.1147,31.00,17.8
2019,7,376.09,0.1153,31.00,17.8
2019,8,372.57,0.1153,31.00,17.8
2019,9,340.46,0.1141,31.00,17.8
2019,10,308.24,0.1112,31.00,17.8
2019,11,285.53,0.1107,31.00,17.8
2019,12,309.82,0.1096,31.00,17.8
2020,1,315.53,0.1102,44.00,20.6
2020,2,294.66,0.1107,44.00,20.6
2020,3,289.89,0.1101,44.00,20.6
2020,4,262.40,0.1117,44.00,20.6
2020,5,274.71,0.1123,44.00,20.6
2020,6,320.06,0.1147,44.00,20.6
2020,7,379.53,0.1156,44.00,20.6
2020,8,368.88,0.1157,44.00,20.6
2020,9,322.55,0.1148,44.00,20.6
2020,10,296.88,0.1117,44.00,20.6
2020,11,277.25,0.1105,44.00,20.6
2020,12,315.33,0.1100,44.00,20.6
2021,1,321.50,0.1104,87.00,21.4
2021,2,299.70,0.1167,87.00,21.4
2021,3,295.35,0.1131,87.00,21.4
2021,4,272.78,0.1128,87.00,21.4
2021,5,290.06,0.1133,87.00,21.4
2021,6,338.42,0.1181,87.00,21.4
2021,7,373.95,0.1199,87.00,21.4
2021,8,381.04,0.1199,87.00,21.4
2021,9,336.44,0.1209,87.00,21.4
2021,10,302.13,0.1183,87.00,21.4
2021,11,287.13,0.1178,87.00,21.4
2021,12,307.39,0.1175,87.00,21.4
2022,1,338.66,0.1203,60.00,22.5
2022,2,305.86,0.1226,60.00,22.5
2022,3,304.30,0.1221,60.00,22.5
2022,4,284.93,0.1231,60.00,22.5
2022,5,309.70,0.1266,60.00,22.5
2022,6,347.11,0.1331,60.00,22.5
2022,7,389.21,0.1348,60.00,22.5
2022,8,389.63,0.1380,60.00,22.5
2022,9,340.54,0.1373,60.00,22.5
2022,10,297.20,0.1322,60.00,22.5
2022,11,292.26,0.1310,60.00,22.5
2022,12,327.78,0.1333,60.00,22.5
2023,1,325.41,0.1359,72.00,23.4
2023,2,292.95,0.1368,72.00,23.4
2023,3,306.45,0.1342,72.00,23.4
2023,4,280.81,0.1317,72.00,23.4
2023,5,298.71,0.1314,72.00,23.4
2023,6,328.80,0.1353,72.00,23.4
2023,7,387.26,0.1370,72.00,23.4
2023,8,392.44,0.1376,72.00,23.4
2023,9,346.48,0.1363,72.00,23.4
2023,10,308.07,0.1341,72.00,23.4
2023,11,294.25,0.1333,72.00,23.4
2023,12,312.64,0.1333,72.00,23.4
2024,1,343.72,0.1367,109.00,24.3
2024,2,303.26,0.1357,109.00,24.3
2024,3,297.28,0.1347,109.00,24.3
2024,4,286.26,0.1339,109.00,24.3
2024,5,313.96,0.1336,109.00,24.3
2024,6,355.88,0.1389,109.00,24.3
2024,7,397.87,0.1412,109.00,24.3
2024,8,394.20,0.1412,109.00,24.3
2024,9,343.07,0.1406,109.00,24.3
2024,10,315.90,0.1366,109.00,24.3
2024,11,295.80,0.1373,109.00,24.3
2024,12,328.19,0.1369,109.00,24.3
2025,1,361.98,0.1404,285.88,25.8
2025,2,320.56,0.1433,285.88,25.8
2025,3,307.24,0.1425,285.88,25.8
2025,4,294.85,0.1409,285.88,25.8
2025,5,312.49,0.1411,285.88,25.8
2025,6,357.10,0.1473,285.88,25.8
2025,7,407.63,0.1503,285.88,25.8
2025,8,392.63,0.1497,285.88,25.8
2025,9,346.20,0.1488,285.88,25.8
2025,10,320.59,0.1443,285.88,25.8
2025,11,299.02,0.1445,285.88,25.8
2025,12,337.72,0.1461,285.88,25.8
